DATE,M1
30/12/19,3963.5
06/01/20,3946.7
13/01/20,3947.2
20/01/20,3977.6
27/01/20,3962.8
03/02/20,4082.8
10/02/20,4017.6
17/02/20,3989.2
24/02/20,3977.6
02/03/20,4035.2
09/03/20,4072.3
16/03/20,4136.2
23/03/20,4323.7
30/03/20,4525.8
06/04/20,4607.2
13/04/20,4735.9
20/04/20,4869.1
27/04/20,4918
